text,label
Who had a hit in 1966 with 'Pretty Flamingo'?,general
How many spoons are there in a full set of Apostle spoons?,general
Which English Protestant produced the first English translation of the Bible in 1535?,general
"In 1498 who painted 'The Last Supper', located in the refectory of Santa Maria delle Grazie in Milan?",general
Cyrenaica is a province of which African country?,general
With which film do you associate Lara's Theme?,general
In which constellation is the Great Nebula?,general
Danny O'Donoghue was a judge on the TV show 'The Voice'; he is the singer with which group?,general
Who wrote the poem 'Easter 1916'?,general
Which Russian general led the defence of Moscow and the relief of Stalingrad during World War II?,general
In literature whose manservant was Bunter?,general
Who bowled Don Bradman for a duck in his last Test Innings?,general
In which 1953 film does the song 'Secret Love' first appear?,general
Who plays King George VI in the award winning film The King's Speech?,general
"""Which mountain makes up the Yorkshire """"Three Peaks"""", along with Ingleborough and Pen-y-Ghent?""",general
Who is to play the role of Bilbo Baggins in the 2012 film of Tolkien's 'The Hobbit'?,general
Which English king was born at Dunfermline Palace in 1600?,general
Which artery supplies blood to the head and brain?,general
Which country's cricket team are called the Proteas?,general
Who owned a teddy bear called Archibald Ormsby-Gore?,general
Germinal and Messidor are months in which calendar?,general
Which character in Eastenders is played by the actress Cheryl Fergison?,general
Ballabriggs won the 2011 Grand National. Who was his jockey?,general
Hans Lansdorf was the captain of which World War 2 German battleship?,general
Kingsford Smith Airport serves which city?,general
Which Shakespearian character was stabbed when hiding behind an arras?,general
In which Pakistan city was Osama Bin Laden killed in 2011?,general
Which musical instrument was associated with Jacqueline du Pre?,general
Aristide Bruant and Jane Avril feature in the art of which French painter?,general
Kenny Dalglish and Herbert Chapman have both won top flight English league championships with two different clubs. Who is the only other man to do this?,general
In which European City is the Mariinsky Ballet based?,general
What was the surname of the only grandfather and grandson to become US President?,general
What is the title of the novel about Barnsley schoolboy Billy Casper which features PE teacher Mr Sugden?,general
In which 1973 Terence Malick film did Martin Sheen and Sissy Spacek play a couple of psychotic murderers?,general
What is the English title of the first book of Stieg Larsson's 'Millennium' trilogy?,general
What is the Chinese art of placement called?,general
Who starred as Matt Dillon in the TV programme 'Gunsmoke'?,general
In which city was the artist Vermeer born in 1632? It features in many of his paintings.,general
In which state of the USA would you find the cities of Macon and Savannah?,general
Who played the Vicar of Dibley on TV?,general
"Which entertainer was born Stevland Judkins (his surname later changed to Morris) in Saginaw, Michigan in 1950?",general
Which motorway connects Glasgow and Edinburgh?,general
Which inlet of the Irish Sea separates Cumbria from Dumfries and Galloway?,general
"Which car company produced the Speed Six, famous for its race against the 'Blue Train', between 1926 and 1930?",general
"""Known in English as """"Royal March"""", the national anthem of which country has no words?""",general
Which straits separate Corsica and Sardinia?,general
What is the administrative centre of Cornwall?,general
"In the Old Testament, whose wife was Zipporah?",general
Which artist painted 'Allegory on the Blessings of Peace' in about 1630?,general
Who was the first American President not of British descent?,general
Who won the Oscar for Best Actor in 2010 for his role as Otis Blake in the film 'Crazy Heart'?,general
Which ice-cream business was founded by Rueben and Rose Mattus?,general
In which country is Verdi's opera 'Aida' set?,general
What is the more common name for the group of rebels who called themselves 'The Fists of Righteous Harmony' at the turn of the 20th century?,general
Which straits separate Corsica and Sardinia?,general
"In the Old Testament, whose wife was Zipporah?",general
For which disease is morbilli the Latin name?,general
Which racecourse stages the Coventry Stakes?,general
Robert the Bruce's son succeeded him as King of Scotland. Who was he?,general
"Adjutant, maribou and white are types of which bird?",general
Who became the third wife of Paul McCartney in October 2011?,general
The Shard stands next to which London Underground station?,general
"In the history of the British army, what were the Baker, the Brunswick and the Ferguson?",general
Who wrote the screenplay for 'You Only Live Twice'?,general
Which racecourse hosts The Lincoln Handicap?,general
"Cara, Estima and Desiree are types of what?",general
"""Who, in 1887, composed the symphonic poem """"Capriccio Espagnol""""?""",general
"""Which Shakespeare play opens with the words """"Now is the winter of our discontent""""?""",general
"Catherine of Valois, Matilda and Margaret Beaufort were all mothers of English Kings with which first name?",general
Which English football club play home games at Roots Hall?,general
"What are Duke of Burgundy, White Admiral and Essex Skipper?",general
Who was Prime Minister when pensions were introduced?,general
In which war was the Battle of Marston Moor fought?,general
Who wrote: 'The curfew tolls the knell of parting day. The lowing herd winds slowly o'er the lea'?,general
Which US multinational chain is named after a character in Moby Dick?,general
Dustin Hoffman played the role of an autistic savant in the film 'Rain Man'. Who played the part of his younger brother Charlie?,general
Kings Oak was the location for which TV soap opera?,general
The M5 motorway runs from Birmingham to which city in Devon?,general
In 'Hamlet' whose grave is being dug when Yorick's skull is found?,general
